"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"03/1990",9306,,6,,40,18,,26,,,336,128,1876,100,,392,,2,438,2,4,1704,128,,276,368,,2,,202,34,48,10,78,82,72,,66,62,76,114,98,28,214,,2,36,488,2,,24,62,,220,412,12,20,4,,84,2,,72,36,502,2,88,150,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04/1990",9238,,4,,44,14,,20,2,6,322,130,1808,88,,430,,2,458,8,4,1648,116,,246,408,,,,192,58,38,2,72,72,66,,98,56,68,92,134,24,254,,6,36,486,,2,16,76,4,224,404,16,14,8,,94,,,68,90,422,4,74,148,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05/1990",10040,,2,4,38,16,,54,,,398,152,1942,130,,410,,,460,10,10,1812,140,2,248,428,,,,180,30,42,10,94,114,144,,120,56,50,98,154,30,282,,2,40,512,6,6,26,68,4,248,390,6,28,10,,98,,2,60,96,472,8,94,136,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06/1990",10678,,,4,48,14,,34,,2,374,154,2034,166,,422,,4,490,6,6,1840,118,2,248,530,,,,236,36,40,8,90,90,144,,142,78,68,132,152,30,238,,4,40,538,,8,22,82,12,238,446,14,24,12,,208,,,60,110,544,14,78,132,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07/1990",11234,,4,2,28,26,,66,,2,344,160,2302,148,,438,2,,522,8,4,2056,114,2,304,574,,2,,206,50,42,6,112,78,164,,160,88,60,92,138,36,250,,8,50,454,2,6,28,56,4,250,462,10,32,10,,186,,,54,148,588,10,94,126,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"08/1990",11068,,2,4,50,20,2,34,,4,408,124,2164,116,4,446,,6,502,6,2,1964,144,,308,544,,,,212,46,44,8,112,96,178,,156,62,68,130,176,26,272,,4,40,460,,4,30,98,4,248,432,4,30,16,,156,,2,76,126,532,12,118,130,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/1990",10472,,,,42,14,,40,,2,414,120,1926,126,,504,2,,522,14,4,1836,86,,298,514,,,,212,40,42,6,110,92,100,,140,62,86,92,148,28,270,,6,50,536,,4,30,76,2,232,432,18,28,16,,130,,,94,106,470,12,132,104,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10/1990",10118,,,,48,24,,34,,4,366,118,1924,148,4,424,,,484,4,,1892,138,2,262,390,,,,212,44,28,,116,76,92,,104,82,80,126,144,32,232,,2,34,482,2,4,42,84,8,198,422,18,12,10,,70,8,2,70,98,608,2,116,112,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/1990",9602,,,4,38,20,,42,,4,382,108,1858,126,,388,,2,474,6,2,1772,106,2,228,372,,2,,196,52,52,2,108,98,68,,100,78,64,90,98,32,196,,4,60,452,,2,34,98,2,282,456,16,18,8,,62,,2,70,52,484,2,104,140,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12/1990",9510,,,4,38,14,,48,,4,368,156,1858,118,,390,,,496,8,,1760,92,,224,330,,2,,190,32,32,14,116,72,34,,32,54,70,114,136,32,232,,,26,526,2,,20,88,6,270,448,6,12,8,,32,,,66,34,576,4,90,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01/1991",4308,30,4,,22,8,,28,,,274,118,804,116,,216,4,,176,6,2,650,,,2,152,50,,,,10,,4,,,,,,2,40,,74,22,170,4,,18,374,,,,,8,164,320,8,10,14,,,,6,44,,228,2,26,82,16,,1942,,,,,,,,,,550,,92,,158,,,678,,136,,,,,10,8,,82,,,,,30,,,18,,2,18,2,,,,,14,,136,8,,,72,,,,,6,20,16,,,,,22,,,,8
"02/1991",4318,8,,,22,8,,36,,,302,106,822,102,,234,,,174,6,2,674,,,4,138,36,,,,4,,10,,,,,,2,50,,72,26,164,4,2,20,340,4,2,,,6,114,344,6,10,8,,,,2,54,2,266,,26,90,14,2,2010,,,,,,,,,,572,,134,,176,,,622,,134,,,,,8,14,,88,,,,,38,,,14,,,30,,,,,,8,,156,8,8,,90,,,,,6,28,28,,,,,10,,,,18
"03/1991",5128,28,,,34,18,,24,,,346,116,956,110,,340,,,226,14,,732,,,2,180,62,,2,,12,,2,,,,,,,56,,92,30,216,4,8,16,388,,2,,,4,186,352,6,18,4,,,,2,50,2,326,2,22,88,44,6,2294,,,,,,,,,,734,,118,,202,,,678,,164,,,,,6,22,,92,,,,,34,,,18,2,,18,,,,,,14,,182,4,6,,138,,2,,,14,48,30,,,,,26,2,,,16
"04/1991",4716,16,,,36,8,,24,,,278,96,1002,114,,192,2,,228,14,2,690,,,,186,60,,,,6,,2,,,,,,,70,,70,18,202,2,6,24,338,,2,,,6,166,330,2,16,8,,,,,72,8,264,,24,102,26,4,2178,,,,,,,,,,662,,96,,150,,,734,,146,,,,,16,26,,108,,,,,30,,,4,2,4,28,,,,,,10,,156,4,2,,226,,,,,22,98,52,,,,,32,,,,22
"05/1991",5446,20,,,30,10,,32,,,374,130,998,90,,262,2,,224,10,2,894,,,2,224,68,,2,,8,,,,,,,,4,58,,92,16,242,2,2,26,408,2,6,2,,2,202,406,10,20,10,,,,,38,2,354,4,18,120,14,4,2460,,,2,,,,,,,790,,110,,236,,,784,,180,,,,,4,22,,96,,,,,28,4,,12,2,,18,2,,,,,8,,150,4,8,,428,,2,,,54,156,82,,2,4,,56,2,,,70
"06/1991",5562,20,,,32,26,,30,,,380,102,1114,126,,280,2,,236,16,4,844,,,2,232,66,,,,14,,4,,,,,,2,60,,112,18,224,2,2,30,460,,2,,,8,162,396,10,34,12,2,,,,62,2,274,4,40,90,24,,2750,,,,,,,,,,854,,124,,208,,,872,,168,,,,,10,38,,134,,,,,62,,,16,4,2,30,4,,,,,16,,184,10,14,,444,,,2,,48,180,76,,,4,,66,,2,,66
"07/1991",5552,10,6,,40,20,,34,,,382,132,1032,118,,344,2,,234,8,2,808,,,,210,60,,2,,24,,6,,,,,,2,64,,126,22,240,2,2,34,422,4,6,2,,4,140,382,16,22,14,,,,,78,4,322,,22,116,28,4,2908,,,,,,,,,,892,,108,,246,,,898,,244,,,,,16,34,,104,,,,,40,,,28,,,30,,,,,,12,,226,14,16,,510,,2,,,60,172,100,2,,,,54,,,,120
"08/1991",5924,22,2,,30,14,,24,,,358,148,1146,126,,318,4,,248,10,2,870,,,6,238,60,,,,10,,6,,,,,,4,86,,112,26,254,4,4,42,448,,4,,,2,204,422,16,18,12,,,,,74,2,356,2,24,118,36,12,2876,,,,,,,,,,894,2,140,,206,,,924,,198,,,,,8,34,,120,,,,,46,,,24,,2,34,,,,,,20,,198,14,12,,514,,4,,,80,162,94,,,,,82,2,,,90
"09/1991",5410,24,2,,26,8,2,30,,,398,114,1078,120,,256,2,,210,10,4,806,,,6,202,48,,2,,14,,4,,,,,,2,54,,102,28,208,2,6,40,436,,2,,,2,206,404,4,22,18,6,,,2,68,4,284,,34,80,28,2,2630,,,,,,,,,,814,,150,,218,,,794,,168,,,,,12,16,,122,,,,,52,,,16,2,6,28,2,,,,,24,,192,8,6,,386,,8,,,60,132,52,,,,,60,,2,,72
"10/1991",5500,14,,,30,4,,34,,,376,128,1144,106,,232,6,,242,10,2,852,,,6,232,54,,2,,22,,2,,,,,,2,110,,102,14,214,2,2,32,368,,2,,,4,222,342,8,12,12,4,,,2,68,2,310,,12,104,32,20,2674,,,2,,,,,,,786,2,106,,244,,,846,,192,,,,,10,24,,132,,,,,38,,,14,2,2,58,,,,,,14,,182,8,12,,284,,2,,,52,88,64,,,,,38,,,,40
"11/1991",5630,22,,,26,32,,30,,,400,114,1008,132,,312,2,,264,10,,822,,,,246,60,,2,,10,,10,,,,,,2,88,,94,26,258,,2,38,386,,,,,2,156,452,2,24,4,2,,,,62,2,348,,30,112,30,8,2686,,,2,,,,,,,778,,122,,268,,,852,,198,,,,,16,38,,94,,,,,48,,,12,,,40,2,,,,,10,,182,8,16,,162,,,,,12,52,34,,,,,28,2,2,,32
"12/1991",5268,24,,,24,24,,28,,,318,102,938,128,,270,4,,246,10,,886,,,4,224,48,2,8,,12,,,,,,,,2,98,,76,24,238,4,4,24,402,2,,,,2,170,404,6,14,6,,,,,66,,276,,44,80,20,6,2430,,,,,,,,,,728,,96,,202,,,776,,146,,,,,8,38,,112,,,,,46,,,20,4,,40,4,,,,,8,,198,,4,,106,,2,,,22,34,14,,,,,14,,,,20
"01/1992",4496,10,,,34,10,,24,,,300,106,844,90,,232,4,,192,12,2,670,,,6,176,28,,,,10,,2,,,,,,8,56,,106,34,206,2,,20,366,,,,,6,124,320,8,14,10,4,,,,70,8,268,,20,76,14,4,2124,,,,,,,,,,660,,80,,220,,,616,,166,,,,,6,30,,64,,,,,46,,,22,2,,28,2,,,,,12,,160,2,8,,116,,,,,20,34,22,,,,,22,,,,18
"02/1992",4280,18,,,24,14,,34,,,308,100,826,94,,230,2,,184,6,,606,,,2,194,40,,,,12,,2,,,,,,4,56,,96,12,182,2,,24,362,,4,,,4,122,290,4,14,6,4,,,,48,,226,,22,74,26,2,2006,,,,,,,,,,608,,60,,198,,,646,,140,,,,,4,36,,84,,,,,34,,,10,,2,18,,,,,,14,,142,6,4,,122,,4,,,24,22,26,,,,,20,,,,26
"03/1992",4420,20,,,18,12,,12,,,262,108,926,100,,230,2,,190,10,2,676,,,2,198,44,2,,,8,,2,,,,,,2,50,,84,38,188,2,,20,296,2,2,,,2,166,344,2,16,8,,,,,42,2,226,,8,68,22,6,2038,,,2,,,,,,,634,,130,,186,,,556,,160,,,,,6,26,,82,,,,,36,,,12,6,,24,2,,,,,10,,158,,8,,208,,,,2,36,64,30,,,,,36,,,,40
"04/1992",4388,20,2,,24,8,2,22,,,296,116,800,108,,240,,,174,16,2,664,,,,180,46,,,,10,,,,,,,,4,52,,66,16,188,2,,30,378,,,2,,,148,344,6,8,12,4,,,,58,,232,,12,72,18,6,2188,,,2,,,,,,,718,,106,,212,,,622,,158,,,,,6,24,,74,,,,,32,,,8,4,2,42,4,,,,,6,,150,4,14,,312,,4,,,38,102,44,,,,,46,,,,78
"05/1992",5158,20,,,26,22,,36,,,292,154,1040,108,,244,4,,216,6,,694,,,2,216,58,,,,8,,12,,,,,,4,72,,78,24,234,4,,32,426,,2,,,2,172,386,10,20,10,4,,,2,50,4,302,2,28,100,20,12,2488,,,,,,,,,,738,,112,2,244,,,760,,226,,,,,4,44,,90,,,,,56,,,20,6,,30,4,,,,,18,,122,4,8,,484,,2,,,118,132,72,2,,,,62,,,,96
"06/1992",5228,32,,,36,14,,40,,,368,144,996,102,,284,4,,212,6,2,790,,,8,204,54,,,,18,,4,,,,,,8,64,,82,8,198,6,,28,430,,,,,6,140,378,6,8,8,12,,,2,76,2,310,4,24,90,14,6,2670,,,,,,,,,,848,,112,,256,,,806,,196,,,,,14,36,,116,,,,,64,,,12,4,2,48,,,,,,,,144,2,10,,504,,6,,2,100,186,86,,,,,56,,,,68
"07/1992",5128,24,,,22,8,,26,,,244,150,946,130,,274,2,,238,14,4,814,,,6,182,68,,4,,12,,2,,,,,,2,84,,100,20,240,,,26,444,,4,,,2,158,360,6,12,6,2,,,2,60,,302,2,16,82,28,,2646,,,,,,,,,,760,2,120,2,234,,,844,,196,,,,,10,28,,122,,,,,56,,,22,8,2,38,4,,,,,12,,172,8,6,,410,,,,,72,122,86,2,,,,48,2,,,78
"08/1992",5462,32,2,,22,18,,28,,,358,152,1052,106,,278,4,,202,12,,868,,,,216,58,,4,,14,,8,,,,,,6,70,,118,36,234,,2,30,402,2,2,,,,154,398,6,10,8,2,,,2,70,4,296,,30,110,32,4,2766,,,,,,,,,,842,,136,,260,,,872,,192,,,,,10,34,,110,,,,,50,,,12,2,,20,4,,,,,12,,196,10,4,,498,,6,,,108,154,92,,,,,54,2,,,82
"09/1992",4704,14,2,,20,10,,24,,,328,104,936,124,,256,2,,186,2,,708,,,2,192,48,,4,,6,,4,,,,,,4,60,,70,30,222,,4,16,358,,2,,,,162,328,10,14,4,6,,,2,52,2,248,2,36,72,26,2,2558,,,,,,,,,,838,,126,2,190,,,792,,164,,,,,8,36,,96,,,,,50,,,16,8,,38,,,,,,8,,174,4,8,,386,,6,,,78,120,70,,,,,48,,2,,62
"10/1992",5788,26,,,28,8,,26,,,394,150,1110,90,,292,4,,250,10,2,848,,,2,274,52,,2,,14,,4,,,,,,2,66,,138,22,230,2,,36,476,,2,,,4,188,418,12,18,12,12,,,4,64,6,346,,18,102,20,4,2760,,,2,,,,,,,918,,112,,270,,,810,,208,,,,,6,34,,104,,,,,60,,,18,2,2,22,,,,,,10,,166,12,4,,306,,,,,68,78,60,,,4,,32,,2,,62
"11/1992",5238,26,,,22,8,,16,,,390,118,936,116,,288,,,226,10,2,730,,,,254,50,,2,,12,,10,,,,,,4,72,,98,16,228,,,40,454,,,2,,2,172,392,10,22,4,2,,,2,58,2,314,,28,66,28,6,2466,,,,,,,,,,752,,94,,218,,,832,,176,,,,,6,40,,66,,,,,44,,,8,4,,48,2,,,,,8,,160,2,6,,192,,,,,30,70,32,,,,,26,,6,,28
"12/1992",5434,28,,,22,14,,42,,,358,106,948,132,,282,6,,218,16,,824,,,4,268,74,,8,,10,,6,,,,,,2,70,,94,22,214,2,4,30,426,,2,2,,,192,404,6,12,6,18,,,,86,6,314,,28,106,16,6,2664,,,2,,,,,,,738,,132,,226,,,864,,188,,,,,18,42,,116,,,,,42,,,28,2,,44,,,,,,2,,204,10,6,,96,,,,,16,26,18,,,,,16,,6,,14
"01/1993",4410,26,,,20,16,,40,,,292,116,844,94,,216,4,,176,2,8,642,,,4,192,40,,2,,16,,4,,,,,,4,68,,72,16,202,6,2,10,352,,4,,,4,128,336,12,10,6,8,,,,44,2,254,,12,82,20,2,2098,,,4,,,,,,,630,,94,2,218,,,664,,166,,,,,,38,,78,,,,,24,,,10,2,,42,,,,,,2,,114,4,6,,134,,,,,24,46,24,,,,,14,,2,,24
"02/1993",4148,10,,,16,6,,18,,,232,100,780,112,,224,2,,192,2,,590,,,4,194,36,2,8,,,,4,,,,,,4,60,,78,22,214,,,32,342,,2,,,6,144,274,6,18,4,6,,,,50,2,252,,14,74,8,4,1928,,,2,,,,,,,528,,106,2,208,,,588,,162,,,,,8,28,,78,,,,,38,,,14,2,,14,,,,,,6,,138,4,2,,142,,,,,30,36,28,,,,,22,,,,26
"03/1993",4578,20,4,,20,14,,28,,,336,98,832,76,,242,8,,196,12,2,640,,,2,198,50,,6,,2,,,,,,,,2,66,,88,22,200,,4,38,394,,4,,,2,156,356,12,4,4,12,,,4,48,4,254,,22,60,32,4,2228,,,,,,,,,,648,,122,,226,,,678,,158,,,,,8,18,,106,,,,,30,,,24,2,,42,2,,,,,12,,146,,6,,234,,2,,,62,56,46,,,4,,36,,,,28
"04/1993",4578,12,,,26,16,,24,,,320,104,856,90,,238,,,172,12,4,674,,,2,176,48,,,,12,,2,,,,,,4,68,,100,26,192,10,2,32,378,,,2,,,154,348,2,6,10,,,,4,48,,282,,20,82,18,2,2254,,,,,,,,,,618,2,126,2,214,,,708,,204,,,,,8,26,,112,,,,,32,,,16,,,28,4,,,,,12,,134,6,2,,430,,2,,,88,148,86,2,,2,,52,,2,,48
"05/1993",5188,14,2,,16,12,,32,,,362,140,966,136,,266,,,236,16,2,720,,,10,218,72,,,,10,,,2,,,,,4,68,,80,34,206,4,,54,388,,,2,,,164,404,8,26,10,8,,,,46,10,312,2,26,72,24,4,2690,,,,,,,,,,828,,128,,212,,,872,,186,,,,,8,30,,100,,,,,56,,,12,,,36,2,,,,,8,,196,8,8,,606,,2,,,146,170,96,,2,2,,96,,2,,90
"06/1993",4946,22,2,,10,12,,54,,,316,144,876,94,,276,2,,192,16,2,708,,,4,232,56,,6,,18,,2,,,,,,6,72,,98,32,210,2,2,26,392,,2,,,,132,382,14,10,6,10,,,,42,,348,,24,60,30,2,2658,,,,,,,,,,808,,120,,262,,,810,,202,,,,,6,32,,126,,,,,40,,2,12,2,,36,2,,,,,16,,174,8,,,560,,12,2,,126,156,94,,,8,,72,,4,,86
"07/1993",5494,28,,,18,10,,30,,,360,132,1020,128,,310,2,,192,10,,834,,,4,274,58,,6,,10,,6,,,,,,8,80,,96,24,260,4,2,30,446,,6,4,,2,172,418,4,18,12,20,,,2,68,2,286,,8,64,20,6,2926,,,4,,,,,,,896,,134,2,268,,,890,,192,,,,,2,34,,120,,,,,66,,,14,,,54,6,,,,,12,,210,6,16,,736,,6,,,180,202,130,,,14,,84,4,10,,106
"08/1993",5412,28,,,14,8,,28,,,336,148,1086,132,,244,,,246,28,4,736,,,4,252,60,,,,8,,2,,,,,,8,92,,88,22,210,2,,26,448,2,,,,2,164,382,12,24,14,10,,,4,60,,356,,24,78,16,4,3002,,,6,,,,,,,850,,128,,278,,,892,,266,,,,,12,46,,130,,,,,64,,2,20,,,62,6,,,,,18,,208,6,8,,726,,8,,,154,218,118,,,2,,96,2,4,,124
"09/1993",5122,18,,,16,10,,30,,,326,132,954,100,,230,2,,224,10,4,756,,,2,238,64,,6,,10,,4,,,,,,6,82,,98,20,220,2,,54,402,4,,,,4,176,366,14,14,4,10,,,,56,6,306,2,26,94,18,2,2764,,,2,,,,,,,826,2,118,,278,,,842,,244,,,,,,44,,112,,,,,42,,4,18,2,,28,,,,,,20,,168,10,4,,616,,8,,4,144,174,88,,2,12,,100,,2,,82
"10/1993",5994,18,2,,22,22,,36,,,422,132,1088,134,,282,2,,276,18,,926,,,6,266,60,,14,,16,,10,,,,,,14,110,,110,38,234,4,2,40,466,,2,,,10,172,430,8,12,6,14,,,2,64,2,358,,28,86,24,6,2830,,,2,,,,,,,782,,138,,242,,,908,,232,,,,,4,50,,120,,,,,48,,4,12,2,,58,2,,,,,6,,208,10,2,,418,,8,,,84,110,66,,2,8,,52,,8,,80
"11/1993",5308,38,,,28,20,,44,,,362,132,868,136,,242,4,,216,10,4,808,,,,272,74,,4,,16,,,,,,,,4,82,,94,16,210,,,46,498,,,,,2,154,380,6,16,12,22,,,,78,4,280,,28,64,30,4,2760,,,2,,,,,,,836,2,140,,270,,,870,,198,,,,,12,34,,96,,,,,44,,4,12,2,,52,2,,,,,8,,172,2,2,,212,,2,,,44,54,46,,,2,,24,,2,,38
"12/1993",5338,26,,,14,12,,30,,,356,116,1002,122,,236,,,208,6,,850,,,8,218,62,,2,,8,,,,,,,,6,72,,100,22,256,2,,42,390,,,,,2,170,394,12,8,12,22,,,2,64,2,346,,30,78,24,6,2566,,,,,,,,,,722,,98,,238,,,826,,222,,,,,2,36,,118,,,,,44,,2,10,2,,50,6,,,,,10,,174,4,2,,130,,,,,16,38,18,,,2,,38,,,,18
"01/1994",4264,20,,,18,6,,26,,,270,122,760,80,,210,6,,186,14,2,694,,,,194,44,,,,6,,4,,,,,,6,44,,86,18,182,4,4,38,320,,,,,2,96,304,14,12,16,12,,,2,68,,256,,18,60,40,,2330,,,,,,,,,,734,2,102,2,192,,,702,,186,,,,,6,52,,90,,,,,30,,6,20,2,,30,2,,,,,,,164,6,2,,132,,,,,22,52,18,,,,,14,,4,,22
"02/1994",3926,20,,,12,6,,22,,,262,90,652,78,,214,2,,148,14,,594,,,,212,48,,,,10,,2,,,,,,4,44,,80,26,174,,,36,304,,2,,,2,122,286,6,8,10,8,,,,36,4,272,,22,68,22,4,2160,,,,,,,,,,676,,108,,178,,,682,,136,,,,,,26,,88,,,,,42,,,14,,,42,2,,,,,6,,150,6,4,,156,,4,,,24,50,22,,,4,,28,,2,,22
"03/1994",4602,14,2,,14,12,,34,,,314,96,870,96,,188,2,,218,16,2,688,,,2,232,66,,6,,16,,6,,,,,,6,60,,90,10,206,,4,40,382,,4,,,,130,320,14,8,22,8,,,,42,6,254,,18,60,20,4,2374,,,,,,,,,,712,,96,,214,,,708,,176,,,,,4,30,,100,,,,,36,,2,24,2,2,60,4,,,,,26,,164,10,4,,288,,2,,,70,84,56,,,6,,42,,4,,24
"04/1994",4838,26,,,10,10,,20,,,330,106,916,114,,230,2,,200,12,2,730,,,2,240,70,,4,,10,,,,,,,,4,60,,80,28,224,2,2,54,338,,,6,,,122,388,6,14,14,12,,,,56,,288,,22,60,20,4,2518,,,2,,,,,,,774,,108,,216,,,734,,228,2,,,,14,30,,118,,,,,36,,4,10,,,44,2,,,,,14,,168,2,12,,416,,2,,,86,130,54,,,,,70,4,6,,64
"05/1994",5078,32,,,14,14,,34,,,338,142,850,124,,262,2,,186,14,2,816,,,,234,62,,6,,12,,6,,,,,,8,92,,98,28,218,2,4,36,400,,,4,,2,168,376,8,8,2,32,,,2,40,4,308,,20,52,16,,2694,,,4,,,,,,,838,2,106,,202,4,,826,,220,,,,,6,28,,138,,,,,62,,,10,6,,36,10,,,,,12,,166,16,2,,578,,2,,2,112,150,112,,,6,,98,,4,,92
"06/1994",4906,30,,,10,16,,32,,,316,110,846,96,,248,4,,200,12,2,750,,,2,284,62,,6,,4,,4,,,,,,4,70,,94,16,208,,2,30,384,,4,,,,120,360,10,14,6,18,,,,96,,306,2,28,78,20,2,2716,,,,2,,,,,,784,,114,,272,,,840,,226,2,2,,,4,30,,120,,,,,60,,4,12,4,4,38,2,,,,,14,,178,2,2,,548,,4,,,116,182,88,2,,,,86,,2,,68
"07/1994",5336,32,,,14,22,,32,,,328,138,950,112,,264,,,222,20,2,760,,,2,256,70,,6,,4,,6,,,,,,12,70,,160,28,252,2,4,48,378,,,2,,2,148,386,4,14,4,14,,,2,66,2,360,,22,82,24,10,2998,,,2,,,,,,,950,,124,,242,,,986,,188,,,,,6,52,,130,,,,,50,,,16,12,,46,2,,,,,12,,164,12,4,,700,,16,,4,146,190,120,,,6,,114,,6,,98
"08/1994",5484,36,,,10,4,,34,,,320,144,892,116,,300,2,,208,18,,836,,,,272,84,,6,,14,,12,,,,,,10,92,,126,16,218,,2,56,388,,2,4,,,174,452,4,4,16,16,,,4,66,8,382,,28,86,16,6,3056,,,,,,,,,,898,,136,,306,,,936,,234,,4,,,4,34,,146,,,,,52,,,18,4,4,62,4,,,,,8,,190,6,10,,588,,10,,,116,190,102,,,8,,68,,8,,86
"09/1994",5208,38,,,16,4,,34,,,300,98,958,124,,278,6,,212,26,4,760,,,2,290,64,,2,,18,,10,,,,,,10,60,,110,14,174,2,4,60,424,,,,,,158,372,2,8,14,22,,,2,58,6,320,,46,76,20,2,2822,,,4,,,,,,,822,2,106,,268,,,914,,218,,4,,,12,44,,106,,,,,52,,2,14,,,48,4,,,,,8,,176,6,12,,504,,14,,,118,160,60,,,12,,56,2,2,,80
"10/1994",5692,30,,,24,16,,32,,,346,132,1034,122,,270,,,226,18,,844,,,,292,64,,6,,10,,,,,,,,4,72,,132,34,270,,,56,456,,4,2,,,152,474,12,6,4,22,,,,42,4,340,2,16,86,30,6,3126,,,,,,,,,,950,,116,,286,,,1014,,216,2,,,,6,32,,138,,,,,46,,2,18,10,,60,,,,,,12,,206,8,4,,440,,6,,,108,114,70,2,2,6,,62,2,4,,64
"11/1994",5364,22,,,14,10,,20,,,308,120,894,116,,216,,,236,30,,898,,,2,288,70,,2,,8,,8,,,,,,2,102,,136,20,240,,,38,414,,,2,,,192,364,12,10,14,24,,,4,82,2,328,2,14,74,22,4,2916,,,,,,,,,,828,,132,,274,,,880,,252,,,,,4,46,,138,,,,,44,,2,18,6,,68,4,,,,,12,,200,8,,,186,,2,,,44,46,34,,,4,,26,,2,,28
"12/1994",5850,38,2,,22,16,,40,,,380,124,1054,118,,284,2,,228,16,,862,,,6,308,82,,12,,26,,2,,,,,,2,98,,108,22,278,6,,62,480,,2,,,4,160,402,6,20,10,24,,,,66,8,346,,12,84,26,2,2992,,,2,,,,,,,860,,142,,330,,,926,,232,,2,,,6,24,,114,,,,,60,,,24,10,,42,6,,,,,10,,194,4,4,,144,,2,,,32,50,28,,,2,,14,,2,,14
"01/1995",4634,30,,,,12,,32,,,336,86,866,78,,246,2,,192,28,,730,,,2,198,56,,6,,14,,8,,,4,,,8,64,,104,34,178,,,46,302,,,,,2,160,342,4,4,12,10,,,2,42,2,258,,40,54,34,6,2604,,,2,,,,,,,762,2,90,,274,,,778,,240,,2,,,6,32,,92,,,,,50,,2,16,4,,40,18,,,,,14,,166,8,6,,110,,4,,,20,36,10,,,,,14,2,,,24
"02/1995",4358,24,,,12,16,,16,,,266,92,826,74,,188,4,,188,22,,668,,,2,238,68,,4,,6,,4,,,4,,,16,66,,92,30,152,2,,58,288,,4,,,4,138,292,8,10,10,14,,,2,36,8,286,,32,62,22,4,2222,,,2,,,,,,,630,,98,2,186,,,696,,192,,2,,,4,34,,102,,2,,,48,,6,12,,,24,2,,,,,14,,166,,,,142,,2,,,32,38,16,,2,4,,28,,,,20
"03/1995",4846,24,,,8,10,,30,,,320,118,820,92,,264,4,,190,22,,770,,,2,262,52,,4,,16,,2,,,2,,,8,70,,110,22,224,,,46,336,,,,,2,128,366,4,10,18,26,,,6,68,2,284,2,28,42,30,2,2684,,,2,,,,,,,810,2,126,2,266,,,794,,200,,4,,,2,30,,114,,,,,40,,,26,8,4,52,4,,,,,8,,184,6,,,250,,4,,,50,78,38,,,6,,42,2,2,,28
"04/1995",4840,44,,,8,8,2,34,,,334,122,882,86,,234,2,,198,18,2,716,,,,258,64,,6,,8,,2,,,2,,,8,66,,82,30,228,4,2,58,324,2,,4,,2,116,366,6,2,4,28,,,2,46,2,306,2,26,62,26,6,2644,,,,,,,,,,768,,106,,242,,,842,,214,2,4,,,4,40,,134,,2,,,52,,2,18,,,34,8,,,,,12,,152,4,4,,366,,2,,,78,122,68,,,8,,54,,,,34
"05/1995",4932,26,,,12,12,,36,,,338,100,852,112,,244,2,,198,6,4,778,,,2,246,50,,2,,10,,,,,,,,4,60,,110,22,256,4,,48,374,,2,6,,6,108,382,14,10,4,16,,,,76,2,306,,26,52,14,,2726,,,,,,,,,,786,,104,4,248,,,862,,214,,8,,,14,36,,134,,4,,,36,,6,22,6,4,42,10,,,,,10,,168,2,6,,528,,,,,98,162,76,,,2,,86,2,4,,98
